Date,Max_Temperature_C,Mean_Humidity_Pct,Daily_Rain_mm,Region,Latitude,Longitude,Cluster_ID,Cluster_Zone,Rainfall_Lag_21,Month,PM25_Index
2021-01-21,28.6,68.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.6,1,53.75023743172282
2021-01-22,29.400000000000002,78.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.6,1,46.042011827477396
2021-01-23,30.400000000000002,71.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.6,1,44.30510935717012
2021-01-24,29.2,65.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.6,1,55.481815948706796
2021-01-25,28.8,67.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.6,1,48.96256645971665
2021-01-26,27.8,73.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.2,1,54.62931521525409
2021-01-27,26.900000000000002,74.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.2,1,68.79606407753694
2021-01-28,27.3,74.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,45.0,1,62.47050697909787
2021-01-29,28.0,66.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.2,1,52.31929473699191
2021-01-30,29.8,66.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,1,47.179466884596486
2021-01-31,30.7,65.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,1,37.049578202604366
2021-02-01,32.4,56.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,27.404684565482057
2021-02-02,32.699999999999996,50.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,29.24314469116353
2021-02-03,31.0,56.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,28.10026544337768
2021-02-04,30.0,63.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,34.70874417076816
2021-02-05,29.7,56.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,42.22189568712847
2021-02-06,31.2,48.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,31.46917773166122
2021-02-07,32.599999999999994,42.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,30.171236662976398
2021-02-08,32.5,44.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,24.62654628906061
2021-02-09,32.5,52.0,2.0,Andheri,19.1136,72.8697,2,Waterlogging Vectors Risk,42.0,2,22.105148159990208
